Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ES6RedundantAwait;JavaScript and TypeScript/Async code and promises;Redundant 'await' expression;JavaScript;LOCAL;0.01;0.03%;0;484
TypeScriptDuplicateUnionOrIntersectionType;JavaScript and TypeScript/TypeScript;Duplicate union or intersection type component;TypeScript;LOCAL;0.01;0.03%;0;484
JSXUnresolvedComponent;JavaScript and TypeScript/General;Unresolved JSX component;JavaScript;LOCAL;0.01;0.03%;1;485
ES6PossiblyAsyncFunction;JavaScript and TypeScript/Async code and promises;'await' in non-async function;JavaScript;LOCAL;0.01;0.03%;0;484
TypeScriptMissingConfigOption;JavaScript and TypeScript/TypeScript;Missing tsconfig.json option ;TypeScript;LOCAL;0.01;0.03%;0;485
JSPotentiallyInvalidUsageOfClassThis;JavaScript and TypeScript/Probable bugs;Potentially invalid reference to 'this' of a class from closure;JavaScript;LOCAL;0.01;0.02%;0;485
AngularUnresolvedPipe;Angular;Unresolved pipe;HtmlCompatible;LOCAL;0.01;0.02%;0;434
JSIncompatibleTypesComparison;JavaScript and TypeScript/Probable bugs;Comparison of expressions having incompatible types;JavaScript;LOCAL;0.01;0.02%;0;484
RegExpSimplifiable;RegExp;Regular expression can be simplified;RegExp;LOCAL;0.01;0.02%;0;21
RedundantConditionalExpressionJS;JavaScript and TypeScript/Control flow issues;Redundant conditional expression;JavaScript;LOCAL;0.01;0.02%;0;484
TypeScriptFieldCanBeMadeReadonly;JavaScript and TypeScript/TypeScript;Field can be readonly;TypeScript;LOCAL;0.01;0.02%;0;484
ExceptionCaughtLocallyJS;JavaScript and TypeScript/Try statement issues;Exception used for local control-flow;JavaScript;LOCAL;0.01;0.02%;5;484
UnnecessaryLabelOnContinueStatementJS;JavaScript and TypeScript/Control flow issues;Unnecessary label on 'continue' statement;JavaScript;LOCAL;0.01;0.02%;0;484
IncompatibleBitwiseMaskOperation;JavaScript and TypeScript/Bitwise operation issues;Incompatible bitwise mask operation;JavaScript;LOCAL;0.01;0.02%;0;484
UnnecessaryLabelOnBreakStatementJS;JavaScript and TypeScript/Control flow issues;Unnecessary label on 'break' statement;JavaScript;LOCAL;0.01;0.02%;0;485
ReturnInsideFinallyBlockJS;JavaScript and TypeScript/Try statement issues;'return' inside 'finally' block;JavaScript;LOCAL;0.01;0.02%;0;484
EqualityComparisonWithCoercionJS;JavaScript and TypeScript/Probable bugs;Equality operator may cause type coercion;JavaScript;LOCAL;0.01;0.02%;0;484
TypeScriptCheckImport;JavaScript and TypeScript/TypeScript;Unresolved imported name;TypeScript;LOCAL;0.01;0.02%;0;484
TypeScriptConfig;JavaScript and TypeScript/TypeScript;Inconsistent tsconfig.json properties;JSON;LOCAL;0.01;0.02%;0;6
LoopStatementThatDoesntLoopJS;JavaScript and TypeScript/Control flow issues;Loop statement that doesn't loop;JavaScript;LOCAL;0.01;0.02%;0;484
JSLastCommaInArrayLiteral;JavaScript and TypeScript/General;Unneeded last comma in array literal;JavaScript;LOCAL;0.01;0.02%;0;484
ContinueOrBreakFromFinallyBlockJS;JavaScript and TypeScript/Try statement issues;'continue' or 'break' inside 'finally' block;JavaScript;LOCAL;0.00;0.02%;0;485
JSUnresolvedExtXType;JavaScript and TypeScript/General;Unresolved Ext JS xtype;JavaScript;LOCAL;0.00;0.01%;0;484
PointlessArithmeticExpressionJS;JavaScript and TypeScript/Potentially confusing code constructs;Pointless arithmetic expression;JavaScript;LOCAL;0.00;0.01%;0;484
TypeScriptSuspiciousConstructorParameterAssignment;JavaScript and TypeScript/TypeScript;Assigned constructor field parameter;TypeScript;LOCAL;0.00;0.01%;0;484
WithStatementJS;JavaScript and TypeScript/Potentially undesirable code constructs;'with' statement;JavaScript;LOCAL;0.00;0.01%;0;484
CommaExpressionJS;JavaScript and TypeScript/Potentially undesirable code constructs;Comma expression;JavaScript;LOCAL;0.00;0.01%;0;484
UnnecessaryReturnStatementJS;JavaScript and TypeScript/Control flow issues;Unnecessary 'return' statement;JavaScript;LOCAL;0.00;0.01%;0;484
